pod,node
compose-post-redis-fbd7f5647-9wjtt,slave14
compose-post-service-5d68f4cbb5-7v6lg,slave12
compose-post-service-5d68f4cbb5-dcxd5,slave16
compose-post-service-5d68f4cbb5-f6zpj,slave12
compose-post-service-5d68f4cbb5-kt67q,3h49m
compose-post-service-5d68f4cbb5-lcsrs,slave21
compose-post-service-5d68f4cbb5-qtwks,slave21
home-timeline-redis-6986b98bb7-jg5j4,slave14
home-timeline-service-b6dd5cf8c-fgqfc,slave16
jaeger-74649856c9-mvc9c,slave14
media-memcached-6c6d95749b-pbvnc,slave14
media-mongodb-7597996f4b-ppvbl,slave14
media-service-7c796f946f-z7c2d,slave16
nginx-thrift-57685df86d-g8skd,slave16
nginx-thrift-57685df86d-hwtfm,slave21
nginx-thrift-57685df86d-vlgvn,slave12
post-storage-memcached-9cfd4d75b-r5ndz,slave14
post-storage-mongodb-749d8df85b-ph56t,slave14
post-storage-service-6dd5c757f5-xdjz9,slave16
social-graph-mongodb-6ccd7dfcf6-vqblv,slave14
social-graph-redis-58d5f86dbd-k5vh7,slave14
social-graph-service-547d67bcdb-vqtmn,slave16
text-service-6b74467dd9-j2ldl,3h49m
unique-id-service-67bfb74b4b-d2fzs,slave21
url-shorten-memcached-5dc69795cf-5qd2c,slave14
url-shorten-mongodb-65d57ff9b5-w7dqm,slave14
url-shorten-service-69d44d5bd8-2p2vx,slave16
user-memcached-c59bfb4d9-rhdxk,slave14
user-mention-service-79dc776b9d-7t9x4,slave16
user-mongodb-64c5bff6b5-bggtk,slave14
user-service-f46797c4d-mfg4c,slave16
user-timeline-mongodb-58b84bdc7c-hkh4d,slave14
user-timeline-redis-d6d9666f9-nfk27,slave14
user-timeline-service-5ff44bd5cf-fwgkf,3h49m
write-home-timeline-rabbitmq-698b8b779b-wgc8s,slave14
write-home-timeline-service-7ccdc574f7-kcw7t,slave21
